,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Aspect_5deg,BulkDensity_5min,ClayPercentage_5min,annualPET,aridityIndexThornthwaite,climaticMoistureIndex,continentality,embergerQ,growingDegDays0,growingDegDays5,maxTempColdest,minTempWarmest,monthCountByTemp10,PETColdestQuarter,PETDriestQuarter,PETseasonality,PETWarmestQuarter,PETWettestQuarter,thermicityIndex,OrganicCarbon_5min,PhCaCL_5min,Slope_5deg,IsDomesticated
Aepyceros_melampus,0.833322675,0.806670093,1.306447465,-1.131827746,0.424050879,0.893550628,-0.983720736,0.733444868,0.727209172,0.446630622,0.95823608,-0.012405097,0.187457896,-0.329235253,0.44811875,0.123505559,-0.293721173,0.321430629,-0.354785299,0.000192663,0.418709927,0.59454162,1.005724689,0.234073724,-0.662283938,-1.141677955,0.002551222,0.861668685,0.887143667,1.022246896,0.319660621,1.118478477,1.218586054,0.61536244,-0.958139915,0.494810928,0.909772132,0.901810954,-0.357523464,0.1417722,-0.25331558,FALSE
Alcelaphus_buselaphus,1.101110637,0.772876805,1.237242747,-1.150015535,0.922123363,1.115842703,-0.974986904,0.897790718,0.96665469,0.928029442,1.178192106,0.167264874,0.672956259,-0.502673786,0.98682143,0.592904689,-0.499188632,-0.190369381,0.674526514,0.086205319,0.597791383,0.367427741,1.295402553,0.648250815,-0.605096243,-1.149737015,0.085049079,1.226976021,1.242307637,1.18096326,0.895003722,1.101738745,1.599291412,1.011848637,-1.104511783,0.778134919,0.662391601,1.214151492,-0.351755838,0.015972011,-0.379435559,FALSE
Alcelaphus_caama,0.852563077,2.017097611,0.921772118,-0.777117552,0.807745171,0.647696178,-0.390007592,0.927541648,0.603659157,0.710329216,0.839150911,-0.489639234,-0.233962278,-0.634722051,1.212568374,-0.232734252,-0.659845579,-0.214237972,-0.592211728,0.216121326,0.734116712,0.861919779,1.334472416,0.917183617,-1.153821749,-0.806527644,-0.381748551,0.88912684,0.913839401,1.012116627,0.464357366,1.118478477,1.113820508,0.479895434,0.099754438,1.276532771,1.338261846,0.849154077,-0.420102971,0.211370426,-0.458626944,FALSE
Alces_alces,-0.376549906,-1.524166511,-0.696295073,-0.174754519,-0.885631947,-0.046107238,-0.506896114,-0.70972023,-0.19690943,-0.693765424,-0.186598701,0.160213949,-0.177697524,0.67648279,-1.020579748,-0.133750513,0.632998218,0.099853229,0.280167022,0.056646548,-0.455826716,-0.601288536,-0.991497016,-1.077257537,1.285733481,-0.192693648,-0.032925863,-0.826622438,-0.871641304,-0.267924094,-0.579898253,-0.730410951,-0.865120156,-0.65706179,-0.021738234,-0.991776192,-1.180359018,-0.672139703,0.574690448,-1.30471922,0.144679479,FALSE
Alces_americanus,-0.489199508,0.393027259,-0.38447938,0.222141312,-0.427882453,-0.441972554,0.345739504,-1.081019663,-0.225901789,-0.615355511,-0.420605221,0.097080174,-0.27045025,0.784473966,-1.106822283,-0.22872894,0.727883379,0.011934136,0.246301819,0.010701086,-0.353262708,-0.400451371,-0.543077473,-0.654989663,0.556466289,0.241452017,-0.240837696,-0.851375243,-0.864161029,-0.391646939,-0.827882094,-0.740444036,-0.726299739,-0.330596673,0.614819691,-0.203269613,-0.648036549,-0.74743826,0.215812737,-0.676904941,0.64470948,FALSE
Ammotragus_lervia,0.384824722,-0.187271998,0.007870884,-0.473675212,0.322269448,0.535736079,-0.545879282,-0.30192575,0.928346123,0.329600432,0.461082605,-0.319013199,-0.449321666,-0.263074719,-0.67051777,-0.468774228,-0.094361026,-0.729744698,-0.01033041,-0.224524751,0.405922647,0.486590338,0.058818341,0.36612701,-0.604927235,-0.470073957,-0.2901046,0.248897576,0.27958657,0.428161754,0.375181491,0.367150928,-0.167275923,1.162916469,0.443245534,0.071185399,-0.925796228,0.269898886,-0.034484387,1.186308799,0.95513474,FALSE
Antidorcas_marsupialis,0.753257749,1.531444718,0.9842982,-0.85437137,0.533005702,0.664016467,-0.590352894,0.752764075,0.571411027,0.502184967,0.799786969,-0.568920507,-0.378262587,-0.608060175,1.124334301,-0.381151868,-0.638801253,-0.341353535,-0.578724319,0.276218549,0.597440399,0.01489514,1.077783031,0.982864564,-1.189350046,-0.880480378,-0.403747938,0.752620268,0.781123161,0.925702804,0.301768787,1.072431094,0.927868687,0.36688332,-0.043912367,0.915673652,1.114117505,0.75546057,-0.454139887,0.3484414,-0.313046441,FALSE
Antilocapra_americana,-0.075024415,1.616734882,0.046250001,0.011710502,0.276250999,-0.122350077,0.35053729,-0.325850202,0.082099965,-0.066492165,-0.045025736,-0.434582418,-0.490038766,-0.166309002,-0.426185547,-0.482238522,-0.17636529,-0.388550954,-0.256011174,-0.193014541,0.685668834,0.04242749,0.075078359,0.412403667,-0.736752704,0.037959165,-0.418114476,-0.432210119,-0.516220667,0.03950474,-0.403419228,-0.317094577,-0.35755433,0.082743502,1.071491278,0.632043446,0.395077788,-0.308984197,-0.339285903,0.450028701,0.184474999,FALSE
Antilope_cervicapra,1.186508836,0.561417164,0.159897909,-0.551695649,1.496212495,0.9033972,-0.305367295,1.371393351,0.986698672,1.477950723,0.993480496,-0.050269266,0.951010485,-0.586038251,2.142262031,0.722647951,-0.556726237,-0.276408631,-0.492376446,-0.445261033,0.615681704,0.519245472,1.1061806,0.924893943,-0.73097685,-0.469223054,-0.224526518,1.343271628,1.355374103,1.024864458,1.672145936,1.118478477,0.999522022,0.982381105,0.003040678,1.144383993,0.532449655,1.133915217,-0.410175735,0.933295441,-0.467217741,FALSE
Axis_axis,1.138705433,-0.194544158,0.508166594,-0.823813921,1.083527771,1.06071444,-0.793198544,1.179620468,0.992702057,1.190265545,1.062375507,0.849762267,2.174783998,-0.416822783,1.587194741,1.874293644,-0.329368143,0.636312245,-0.005606978,-0.034738549,0.452221816,0.648290543,0.846274368,0.6205949,0.206542938,-0.78836633,0.543320693,1.279477166,1.293351,1.052764316,1.406274569,1.118478477,1.00686737,0.79589702,-0.553691783,0.552719639,0.217273716,1.160852082,-0.323190928,0.353985041,-0.124502666,FALSE
Axis_porcinus,1.050988808,-0.201612028,0.232235123,-0.672677299,0.809615615,0.90020685,-0.744159192,1.307213213,0.703822588,1.068904648,0.92154584,2.020691463,3.421937076,-0.420570436,1.227370168,3.356441045,-0.291151561,3.744075534,-0.388082256,0.810505094,0.420989142,0.077593891,0.672232394,0.459081119,1.159594211,-0.696451739,0.90675929,1.159071828,1.176288917,0.92160093,1.256201637,1.118478477,0.712195598,0.122374328,-0.429690646,0.216019693,0.545373046,1.008800804,-0.319379071,-0.239810355,-0.037563011,FALSE
Bison_bison,-0.624943768,1.431590316,-0.060876544,0.056194729,-0.464533802,-0.488705423,0.387843946,-1.799835565,0.068900492,-0.934483019,-0.443857478,-0.163451365,-0.466189339,0.54551096,-1.310564069,-0.45372492,0.52841139,-0.327718589,0.167370501,-0.169664378,0.650326228,-0.347179999,-0.500713381,-0.193776327,0.104925564,0.07345389,-0.333567153,-0.961429017,-0.964948101,-0.360182767,-1.470358954,-0.989385907,-0.718180634,0.100057599,0.713586825,-0.066124494,-0.890393414,-0.949123335,-0.364855452,0.249413088,0.748555647,FALSE
Bison_bonasus,-0.145684456,-1.166716842,-0.575827838,-0.121874405,-0.479473047,0.076406808,-0.417085675,-0.066615535,-0.215931014,-0.337004292,-0.066101399,-0.100789107,-0.340612467,0.426252233,-0.995801303,-0.3014124,0.372499943,0.043795536,-0.007066618,0.032507488,-0.36346548,-0.164827363,-0.657932764,-0.773589568,0.414699214,-0.143987751,-0.203556846,-0.574995439,-0.669307234,-0.184679713,-0.327034369,-0.396042874,-0.763073131,-0.761668182,0.426606607,-0.472917276,-0.023157151,-0.459511014,0.557854375,-0.847738352,-0.467418665,FALSE
Blastocerus_dichotomus,0.885499165,0.111346349,0.595972759,-0.827783328,0.743014477,0.956794099,-0.866793759,0.893996975,0.66854217,0.820154926,0.911663527,0.847069651,0.429027161,0.894659671,-0.901704042,0.403458585,1.080884248,0.83444539,0.268074097,-0.14294588,-0.41768329,-0.257368451,0.775554656,-1.047996694,0.252909393,-0.834709122,0.357327024,0.933116804,0.956607911,0.880423566,0.833703211,1.114085314,0.482507789,-0.022616258,0.483770716,0.999019555,0.67541816,0.943197821,-0.282918692,-0.252059412,-0.606296926,FALSE
Bos_frontalis_gaurus,1.0487425,-0.444033775,0.710731384,-1.058671642,0.743537873,1.107368611,-1.07835991,0.933942748,0.892486378,0.899749078,1.091471978,1.537006066,2.785554706,-0.243681203,0.902311154,2.399354123,-0.119152652,1.235429568,0.022630916,0.193975688,0.315247151,0.892538481,0.754627088,0.267928144,0.718516931,-1.025175492,1.093448632,1.156870161,1.174148384,1.076395163,1.073536016,1.118478477,1.078380892,0.631433055,-0.968166488,0.321167957,0.114121125,1.136639213,-0.271860051,-0.191653268,0.645922301,TRUE
Bos_grunniens_mutus,-0.731364736,0.657359739,-0.125861012,0.074226951,-1.175113771,-0.666535768,0.17933956,-0.792198147,-0.70828423,-1.165093006,-0.556789977,-0.145665578,0.27481348,-0.550642832,1.033808241,0.261956269,-0.554584346,0.937318937,-0.533263155,0.510654247,-0.236478136,-0.158095174,-0.677870482,-0.036973658,-0.068371964,0.067408955,-0.224766141,-0.918613742,-0.896319749,-0.43623306,-1.315882908,-1.080243198,-0.664632909,-0.848071072,-0.140716495,-0.811315568,-0.246182921,-1.012522428,0.010858712,0.571349384,0.950094141,TRUE
Bos_javanicus,1.210156264,-0.596096918,1.093864684,-1.301815311,0.794424251,1.322829164,-1.348725001,1.098274459,1.065743243,0.977544487,1.287920402,1.505810726,1.772239579,-0.067791343,0.361465196,1.753302691,0.079451677,0.551522586,0.158060269,-0.192624972,0.025464264,0.686244976,0.903784107,0.382129562,0.704667059,-1.274414844,1.338665132,1.376418312,1.387600414,1.261034795,1.139455918,1.118478477,1.374072843,0.834566099,-1.45034207,0.302268488,0.274563397,1.377781893,-0.266907662,-0.970855552,-0.029404057,TRUE
Bos_taurus_primigenius,-0.093334046,-1.221956801,-0.605709834,-0.14254569,-0.427381036,0.113011184,-0.434967428,0.079881383,-0.168023031,-0.274881867,-0.035351672,-0.175191695,-0.375312448,0.290584246,-0.951453966,-0.34216894,0.25222967,-0.002554459,-0.089904597,0.660920688,-0.210231192,-0.270206729,-0.641583512,-0.698844533,0.243488482,-0.136338944,-0.241705701,-0.55297004,-0.659542355,-0.169070527,-0.220340342,-0.408877801,-0.761285124,-0.774877698,0.422082897,-0.466935306,0.130087505,-0.426919556,0.136939955,-0.643137003,-0.40866487,TRUE
Boselaphus_tragocamelus,1.158728617,0.694876594,0.055825659,-0.400790952,1.563919695,0.81908,-0.142994167,1.431184678,1.016649678,1.523360721,0.915385204,0.059158646,1.292029527,-0.566219233,2.383094274,1.012794631,-0.508918505,-0.0806772,-0.479797896,-0.30087373,0.520698784,0.336456924,1.088289752,1.024860785,-0.62385613,-0.325274999,-0.218238265,1.305461542,1.318613877,0.949088669,1.738455896,1.118478477,0.870697419,1.11562732,0.259186151,1.220232818,0.582248312,1.039162676,-0.419286578,0.858860448,-0.449440541,FALSE
Bubalus_bubalis_arnee,1.117897392,-0.934790749,0.895812392,-1.042704139,0.52299403,1.173105507,-1.313259525,1.163471878,0.907742386,0.954308376,1.115087925,2.169603981,3.041601301,0.051758796,0.490980897,2.920127541,0.10753223,3.476260371,0.560445154,0.264300555,0.385173897,0.082769496,0.568413077,-0.027627193,1.23816173,-1.058977893,1.720286834,1.249514416,1.264220216,1.059865081,1.325123808,1.118478477,0.911684175,0.372270106,-1.277821539,-0.279268269,0.241308067,1.185571384,-0.287985685,-0.313353001,-0.08365747,TRUE
Budorcas_taxicolor,0.161905613,-0.426460521,-0.142634989,-0.391022054,-0.276155628,0.224827437,-0.494692483,0.219469528,0.017128429,-0.051815207,0.230518817,0.704877427,1.149268421,-0.369002727,0.629377675,1.184343638,-0.338453028,2.028796009,-0.414734513,-0.320235702,-0.093068625,0.157919272,-0.101782985,-0.520897018,0.773806471,-0.376092538,0.170581851,-0.085146154,-0.246205557,0.242348935,0.123808354,0.038419395,-0.049776439,-0.421873268,-0.428819255,-0.396071723,-0.004525707,-0.056560495,-0.126128341,-0.035893809,2.929981664,FALSE
Camelus_bactrianus,-0.368231866,0.665079257,-0.494637208,0.621446263,-0.085415887,-0.575505869,0.754765198,0.006334942,-0.537337159,-0.162315821,-0.501624541,-0.783712946,-0.722588066,-0.558817201,0.719175227,-0.735060489,-0.587874413,-0.686541224,-0.520630256,0.006357126,0.553038393,0.205488828,-0.324726588,0.93118066,-1.127838857,0.630152116,-0.52886279,-0.697395919,-0.72453857,-0.465998069,-0.285471459,-0.517974678,-0.731454288,-0.662023856,1.013546282,0.130994975,0.497709221,-0.477894148,-0.387382429,1.246064044,0.674765317,TRUE
Camelus_dromedarius,0.81323546,0.6998171,0.12606276,-0.25994556,1.14679115,0.65447292,-0.18064916,-0.44707637,1.20623423,1.09759772,0.64142976,-0.90612938,-0.8896914,-0.6376012,0.5777359,-0.89343305,-0.67597027,-1.108172862,-0.393739343,-0.467355783,0.36119326,-0.05260131,0.83756148,1.47861541,-1.46543852,-0.254158537,-0.556518437,0.83439212,0.8416133,0.60273235,1.039991,0.87604097,0.26155961,1.70855122,1.056767046,1.30232426,-0.885202199,0.69408774,-0.42544841,1.22311457,0.30117573,TRUE
Capra_hircus_aegagrus,0.526273774,0.558935891,-0.162508278,-0.022823493,0.955374371,0.396815518,0.058370266,-0.85014339,1.122186834,0.847486813,0.376142325,-0.488748421,-0.362692406,-0.60095748,0.841701192,-0.35864419,-0.633849437,-1.076919048,0.278863665,0.041102261,0.331502936,0.585033156,0.493414835,1.156254006,-0.974610971,-0.001132681,-0.427004453,0.414971776,0.304684001,0.335158361,0.817852609,0.409348777,-0.031058844,1.553144391,1.101207726,1.003106916,-1.00560171,0.353401084,-0.372318022,1.287373105,1.232477974,TRUE
Capra_ibex,-0.012862341,-0.838597771,-0.203843319,-0.479966509,-0.504952856,0.279350684,-0.719139652,-1.461134138,0.635448264,-0.38906923,0.164495932,0.419889553,-0.130177847,1.355363364,-0.57872034,-0.069710156,1.321512287,-0.014941292,0.757053342,-0.046932546,-0.150603309,0.084127498,-0.317036693,-0.75234875,0.791035613,-0.501443209,0.169554356,-0.279939601,-0.282501243,0.100335885,-0.347083619,-0.340817364,-0.348805802,0.634061953,-0.074344514,-0.463549057,-1.722732202,-0.213972771,-0.127784802,0.797222781,2.294255865,FALSE
Capra_nubiana,0.756352372,0.294783651,0.299613738,-0.532008876,0.744685125,0.756494664,-0.583833021,-0.454268411,1.136349232,0.774954649,0.696541807,-0.79212805,-0.727669753,-0.639433387,1.16353743,-0.714677527,-0.68037506,-1.11495435,-0.120037807,-0.569970436,0.517923881,0.003065187,0.639788522,1.264690101,-1.338215764,-0.549572588,-0.496849354,0.757196187,0.785572022,0.638005537,0.733031117,1.104841368,0.203966994,1.583314349,0.665462514,0.850237336,-1.174350353,0.652569589,-0.36206248,1.444003294,0.879457353,FALSE
Capra_pyrenaica,0.252819024,-0.450552886,-0.096082492,-0.440461177,0.102149126,0.459739942,-0.581044044,-0.41837276,0.665401752,0.142131361,0.363454061,-0.263008519,-0.451689205,-0.027719661,-0.871619772,-0.460734082,0.139406589,-0.61400118,-0.03104027,-0.344949189,0.197152401,0.644519587,-0.129992527,0.067542887,-0.41525884,-0.441470867,-0.258430484,0.068553061,-0.000309366,0.306904036,0.20981879,0.088744728,-0.291161615,0.620190835,0.327572676,-0.181484746,-0.811326397,0.107643186,0.301859951,1.102770463,0.812235793,FALSE
Capra_sibirica,-0.889640161,-0.034724697,-0.623426169,0.481163762,-1.074552496,-0.856936172,0.512215268,-0.92295379,-0.923917132,-1.127557751,-0.821276525,-0.621218955,-0.569873665,-0.482147262,0.366588894,-0.563220776,-0.489783069,-0.459304679,-0.460212949,-0.163598521,0.237864238,0.150211603,-0.833516277,0.110728172,-0.473721531,0.494279314,-0.47333292,-1.020975369,-0.999129847,-0.798591438,-1.303641069,-1.147379737,-0.887826423,-0.925370743,0.199925793,-0.730904606,-0.306250532,-1.173932897,-0.318614467,0.901821871,2.508222624,FALSE
Capreolus_capreolus,-0.069776844,-1.267308077,-0.343376404,-0.458330644,-0.613623743,0.280202325,-0.790498427,-0.678749159,0.092114545,-0.438725,0.11665723,0.1805246,-0.260063911,0.977669208,-1.29980317,-0.208167429,0.909399871,0.041097072,0.348983883,0.096673112,-0.326620189,0.047700999,-0.672057283,-0.987778653,0.908873323,-0.478019947,0.025547997,-0.410451177,-0.616172484,0.011220737,-0.374560402,-0.398152455,-0.679331108,-0.405803797,0.091583129,-0.66112789,-0.976571678,-0.283854255,0.648000944,-0.428697925,0.092119714,FALSE
Capreolus_pygargus,-0.195777982,-0.326878745,-0.652534568,0.434315668,-0.118652241,-0.302177249,0.348650721,0.294641996,-0.487622852,0.010664113,-0.303943058,0.707355293,1.123030706,0.294981492,0.215914218,0.990149606,0.313456288,1.997453741,-0.104244082,0.697827355,-0.077309917,0.084034643,-0.411341226,-1.359636372,1.001156804,0.46386985,-0.002623879,-0.516319045,-0.62065472,-0.32379639,0.222904906,-0.287659049,-0.61016852,-0.822406836,0.390344538,-0.339192577,0.135061516,-0.330996924,-0.158905577,-0.048286528,0.706350655,FALSE
Capricornis_crispus,-0.040847282,-0.703070581,-0.565482094,0.044733761,-0.143815682,0.014563237,-0.113345389,0.292954884,-0.213737454,-0.004721555,-0.029122149,1.411722986,1.032315817,1.540271472,-0.50684937,1.20023806,1.39812368,2.399803737,0.492401812,0.052907082,-0.67132875,0.140760338,-0.38323944,-2.243116529,1.694868624,0.087013089,0.288347827,-0.452361434,-0.569596759,-0.067548177,0.338853098,-0.317540881,-0.456517543,-0.683344209,-0.055945748,-0.704204137,-0.141819927,-0.275018255,-0.020076831,-0.516135658,1.481670527,FALSE
Capricornis_swinhoei,0.31180827,-1.423601627,0.306905796,-0.965708134,-0.690528547,0.652173669,-1.363626462,0.045198768,0.36211119,-0.288546913,0.535132338,3.120649198,2.899812886,1.648705233,-0.202060262,3.081348287,1.645827415,4.97524298,0.972570066,0.177333481,0.053849514,0.037766383,-0.221360124,-1.90013475,2.090124814,-0.997241654,2.519981765,0.148736724,0.15152056,0.451659369,-0.08096312,0.557408824,0.15206966,-0.259529595,-1.344840676,-0.975951679,-0.356166628,0.303698873,-0.199759973,0.964769011,3.86722651,FALSE
Catagonus_wagneri,1.088528812,0.535777338,0.864369038,-0.924000783,0.925338555,1.050234691,-0.88058071,1.261877768,0.862299114,1.010075041,1.063113243,-0.011849448,-0.081709418,-0.3096399,-0.057425585,-0.03953474,-0.257184603,0.382751992,-0.271069108,-0.627000659,0.258419074,0.330991486,1.178292357,0.151186429,-0.727453153,-0.935631342,-0.081236911,1.210443684,1.226234348,1.064718203,0.995784337,1.118478477,0.824450588,0.477037468,0.147442018,1.151032981,1.451501871,1.183197288,-0.357998735,0.331756832,-0.598063555,FALSE
Cephalophus_dorsalis,1.148867207,-0.640010988,1.829834351,-1.423644853,0.58330354,1.414897362,-1.614596979,0.997170558,1.097425654,0.791139743,1.30009433,3.533459196,2.995400646,2.386517354,-0.51649838,2.560891465,3.227190504,1.941182305,3.381503242,0.493568082,-0.068791697,1.716202254,0.907103247,-1.376055119,1.692762574,-1.437795208,3.611654481,1.293400424,1.306887656,1.191910001,0.850926515,1.118478477,1.433094805,0.939920802,-1.69321032,0.222733337,0.341101542,1.297935533,-0.21678131,-1.510691078,-0.48098567,FALSE
Cephalophus_jentinki,1.149615458,-0.652603786,1.867942882,-1.429211795,0.576356842,1.420753096,-1.627322711,0.99733572,1.098571165,0.788286367,1.301896927,3.653707119,3.119910406,2.507785857,-0.518945534,2.635265218,3.374126479,1.981455327,3.472461748,0.514216342,-0.089368755,1.898661376,0.904529585,-1.424213899,1.738917945,-1.443021631,3.760492059,1.294674373,1.308126231,1.193216336,0.848576224,1.118478477,1.435665553,0.935514873,-1.701658266,0.217080916,0.339044092,1.300043928,-0.214386333,-1.572590872,-0.507364453,FALSE
Cephalophus_natalensis,0.898123659,-0.458704351,0.855448047,-1.084677391,0.331032783,1.028822791,-1.234144231,0.922634703,0.761847903,0.611575747,0.992455354,0.502265484,0.373579025,0.415060147,-0.397790949,0.379912937,0.389481315,0.843965745,-0.065616964,-0.375416805,0.244188803,0.675734518,0.55160801,-0.920087553,0.06214485,-1.100840148,0.425615288,0.9508536,0.973852215,0.981047016,0.7638695,1.118478477,0.645008222,0.154709195,-0.572364762,0.097763088,0.608280847,1.005617675,-0.322128249,-0.013332707,-0.006217898,FALSE
Cephalophus_niger,1.147113408,-0.414550408,1.794718953,-1.417088519,0.631117691,1.38328739,-1.539242305,0.96838887,1.097066787,0.787506298,1.294143561,2.959177658,2.72374513,1.530607756,-0.323857884,2.324022927,2.243306079,1.448599706,3.295937664,0.541337308,0.035839562,1.195051257,0.979968484,-0.953324695,1.390295135,-1.430155141,2.940654258,1.290835127,1.304393589,1.200650334,0.812389931,1.118478477,1.487909199,1.002851701,-1.658133646,0.303762301,0.37757416,1.288388027,-0.243870226,-1.222644114,-0.422366624,FALSE
